Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
69,tt0109424,2023-07-25,2023-07-25,,Chung Hing sam lam,https://www.imdb.com/title/tt0109424/,movie,8.0,102,1994,"Comedy, Crime, Drama, Mystery, Romance",89186,1994-07-14,Kar-Wai Wong,,
70,tt0072684,2023-07-25,2023-07-25,,Barry Lyndon,https://www.imdb.com/title/tt0072684/,movie,8.1,185,1975,"Adventure, Drama, War",175326,1975-12-11,Stanley Kubrick,,
71,tt0090163,2023-07-25,2023-07-25,,Threads,https://www.imdb.com/title/tt0090163/,tvMovie,8.0,112,1984,"Drama, Sci-Fi, Thriller",17886,1984-09-23,Mick Jackson,,
72,tt0091251,2023-07-25,2023-07-25,,Idi i smotri,https://www.imdb.com/title/tt0091251/,movie,8.4,142,1985,"Drama, Thriller, War",87921,1985-07-09,Elem Klimov,,
73,tt0206634,2023-07-25,2023-07-25,,Children of Men,https://www.imdb.com/title/tt0206634/,movie,7.9,109,2006,"Action, Drama, Sci-Fi, Thriller",514109,2006-09-03,Alfonso Cuarón,,
74,tt1028528,2023-07-25,2023-07-25,,Death Proof,https://www.imdb.com/title/tt1028528/,movie,7.0,127,2007,"Action, Thriller",303127,2007-05-22,Quentin Tarantino,,
75,tt0244316,2023-07-25,2023-07-25,,Yi yi,https://www.imdb.com/title/tt0244316/,movie,8.1,173,2000,"Drama, Romance",26619,2000-05-15,Edward Yang,,
76,tt19298844,2023-07-25,2023-07-25,,Make People Better,https://www.imdb.com/title/tt19298844/,movie,7.6,83,2022,Documentary,57,2022-04-30,Cody Sheehy,,
77,tt0319061,2023-07-25,2023-07-25,,Big Fish,https://www.imdb.com/title/tt0319061/,movie,8.0,125,2003,"Adventure, Drama, Fantasy, Romance",449848,2003-12-04,Tim Burton,,
78,tt0338013,2023-07-25,2023-07-25,,Eternal Sunshine of the Spotless Mind,https://www.imdb.com/title/tt0338013/,movie,8.3,108,2004,"Drama, Romance, Sci-Fi",1038390,2004-03-09,Michel Gondry,7,2016-08-15
